LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
ADJ Utility Apps Private Limited,,Partner 1,366335529.0,2025-12-31,2026-01-14 05:02:29,Completed
ADJ Utility Apps Private Limited,,Partner 2,1209366040.0,2025-12-31,2026-01-14 05:02:29,Completed
ADJ Utility Apps Private Limited,,Partner 3,2922716869.0,2025-12-31,2026-01-14 05:02:29,Completed
ADJ Utility Apps Private Limited,,Partner 4,39268711.0,2025-12-31,2026-01-14 05:02:29,Completed
ADJ Utility Apps Private Limited,,Partner 5,666278820.0,2025-12-31,2026-01-14 05:02:29,Completed
ADJ Utility Apps Private Limited,,Partner 6,1130941255.0,2025-12-31,2026-01-14 05:02:29,Completed
ADJ Utility Apps Private Limited,,Partner 7,423111502.0,2025-12-31,2026-01-14 05:02:29,Completed
ADJ Utility Apps Private Limited,,Partner 8,791495891.0,2025-12-31,2026-01-14 05:02:29,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,,,2025-12-31,2026-01-14 05:02:30,Partial
CRED,A,A1,98.33,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A10,465.65,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A11,736.29,2025-12-31,2026-01-14 05:02:36,Completed
CRED,A,A12,979.55,2025-12-31,2026-01-14 05:02:36,Completed
CRED,B,B1,36.57,2025-12-31,2026-01-14 05:02:36,Completed
CRED,C,C1.1,309.96,2025-12-31,2026-01-14 05:02:36,Completed
CRED,C,C2.1,68.64,2025-12-31,2026-01-14 05:02:36,Completed
CRED,C,C2.2,468.67,2025-12-31,2026-01-14 05:02:36,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,2023-06-30,2026-01-14 05:02:37,Completed
Flexi Payment,Portfolio 1,Portfolio 1,199674078.0,2025-05-31,2026-01-14 05:02:41,Completed
Flexi Payment,Portfolio 2,Portfolio 2,39599198.0,2025-05-31,2026-01-14 05:02:41,Completed
Flexi Payment,Portfolio 3,Portfolio 3,10610063.0,2025-05-31,2026-01-14 05:02:41,Completed
Flexi Payment,Portfolio 4,Portfolio 4,3085290.0,2025-05-31,2026-01-14 05:02:41,Completed
Flexi Payment,Portfolio 5,Portfolio 5,2069863.0,2025-05-31,2026-01-14 05:02:41,Completed
Flexi Payment,Portfolio 6,Portfolio 6,8208334.0,2025-05-31,2026-01-14 05:02:41,Completed
Flexi Payment,Portfolio 7,Portfolio 7,5932536.0,2025-05-31,2026-01-14 05:02:41,Completed
GetVantage Tech Private Limited,,,,2025-10-31,2026-01-14 05:02:42,Partial
Groww Credit,Portfolio A1,Portfolio A1,13.16,2025-12-31,2026-01-14 05:02:42,Completed
Kissht,1,Portfolio 1,167.87,2025-12-31,2026-01-14 05:02:43,Completed
Kissht,2,Portfolio 1,78.58,2025-12-31,2026-01-14 05:02:43,Completed
Kissht,,Portfolio 2,180.47,2025-12-31,2026-01-14 05:02:43,Completed
Kissht,,Portfolio 3,384.21,2025-12-31,2026-01-14 05:02:43,Completed
Kissht,3,Portfolio 1,137.33,2025-12-31,2026-01-14 05:02:43,Completed
Kissht,,Portfolio 2,379.85,2025-12-31,2026-01-14 05:02:43,Completed
Kissht,4,Portfolio 1,0.37,2025-12-31,2026-01-14 05:02:43,Completed
Kissht,4,7,1328.68,2025-12-31,2026-01-14 05:02:43,Completed
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-14 05:02:44,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-14 05:02:44,Completed
LoanTap,,,,2025-03-31,2026-01-14 05:02:45,Partial
Moneyview Limited,,,,2025-12-31,2026-01-14 05:02:45,Partial
MyShubhLife,,Portfolio 1,14.9,2024-03-31,2026-01-14 05:02:46,Completed
MyShubhLife,,Portfolio 2,16.96,2024-03-31,2026-01-14 05:02:46,Completed
Navi Finserv,,1,,2025-05-31,2026-01-14 05:02:47,Partial
Navi Finserv,,3,,2025-05-31,2026-01-14 05:02:47,Partial
Ninjacart Services Private Limited,,,,2025-12-31,2026-01-14 05:02:47,Partial
OkCredit,,1,50.4,2025-01-01,2026-01-14 05:02:48,Completed
OkCredit,,2,34.6,2025-01-01,2026-01-14 05:02:48,Completed
OkCredit,,3,33.2,2025-01-01,2026-01-14 05:02:48,Completed
OkCredit,,4*,4.6,2025-01-01,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,2025-12-31,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,2025-12-31,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,2025-12-31,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,2025-12-31,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,2025-12-31,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,2025-12-31,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,2025-12-31,2026-01-14 05:02:48,Completed
OnEMI Technlology Solutions Limited,4,7,1328.68,2025-12-31,2026-01-14 05:02:48,Completed
OnionLife Private Limited,,Portfolio 1,18.28,2025-12-31,2026-01-14 05:02:49,Completed
OnionLife Private Limited,,Portfolio 2,8.08,2025-12-31,2026-01-14 05:02:49,Completed
OnionLife Private Limited,,Portfolio 3,7.88,2025-12-31,2026-01-14 05:02:49,Completed
OnionLife Private Limited,,Portfolio 4,5.54,2025-12-31,2026-01-14 05:02:49,Completed
OnionLife Private Limited,,Portfolio 5,2.31,2025-12-31,2026-01-14 05:02:49,Completed
OnionLife Private Limited,,Portfolio 6,2.23,2025-12-31,2026-01-14 05:02:49,Completed
OnionLife Private Limited,,Portfolio 7,1.84,2025-12-31,2026-01-14 05:02:49,Completed
OnionLife Private Limited,,Portfolio 8,1.67,2025-12-31,2026-01-14 05:02:49,Completed
