LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
ADJ Utility Apps Private Limited,,Partner 1,36.63,31-12-2025,19-01-2026 09:14,Completed
ADJ Utility Apps Private Limited,,Partner 2,120.94,31-12-2025,19-01-2026 09:14,Completed
ADJ Utility Apps Private Limited,,Partner 3,292.27,31-12-2025,19-01-2026 09:14,Completed
ADJ Utility Apps Private Limited,,Partner 4,3.93,31-12-2025,19-01-2026 09:14,Completed
ADJ Utility Apps Private Limited,,Partner 5,66.63,31-12-2025,19-01-2026 09:14,Completed
ADJ Utility Apps Private Limited,,Partner 6,113.09,31-12-2025,19-01-2026 09:14,Completed
ADJ Utility Apps Private Limited,,Partner 7,42.31,31-12-2025,19-01-2026 09:14,Completed
ADJ Utility Apps Private Limited,,Partner 8,79.15,31-12-2025,19-01-2026 09:14,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,31-12-2025,19-01-2026 09:14,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,31-12-2025,19-01-2026 09:14,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,31-12-2025,19-01-2026 09:14,Completed
CRED,A,A1,98.33,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A2,71.73,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A3,77.09,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A4,111.91,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A5,203.46,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A6,196.54,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A7,253.24,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A8,346.64,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A9,371.83,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A10,465.65,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A11,736.29,31-12-2025,19-01-2026 09:15,Completed
CRED,A,A12,979.55,31-12-2025,19-01-2026 09:15,Completed
CRED,B,B1,36.57,31-12-2025,19-01-2026 09:15,Completed
CRED,C,C1.1,309.96,31-12-2025,19-01-2026 09:15,Completed
CRED,C,C2.1,68.64,31-12-2025,19-01-2026 09:15,Completed
CRED,C,C2.2,468.67,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A1,98.33,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A2,71.73,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A3,77.09,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A4,111.91,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A5,203.46,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A6,196.54,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A7,253.24,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A8,346.64,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A9,371.83,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A10,465.65,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A11,736.29,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,A,A12,979.55,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,B,B1,36.57,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,C,C1.1,309.96,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,C,C2.1,68.64,31-12-2025,19-01-2026 09:15,Completed
CreditVidya,C,C2.2,468.67,31-12-2025,19-01-2026 09:15,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,30-06-2023,19-01-2026 09:15,Completed
Finsall Resources Private Limited,,Grand Total (64 portfolios),454.1,31-12-2025,19-01-2026 09:15,Completed
Flexi Payment,Portfolio 1,Portfolio 1,19.97,31-05-2025,19-01-2026 09:15,Completed
Flexi Payment,Portfolio 2,Portfolio 2,3.96,31-05-2025,19-01-2026 09:15,Completed
Flexi Payment,Portfolio 3,Portfolio 3,1.06,31-05-2025,19-01-2026 09:15,Completed
Flexi Payment,Portfolio 4,Portfolio 4,0.31,31-05-2025,19-01-2026 09:15,Completed
Flexi Payment,Portfolio 5,Portfolio 5,0.21,31-05-2025,19-01-2026 09:15,Completed
Flexi Payment,Portfolio 6,Portfolio 6,0.82,31-05-2025,19-01-2026 09:15,Completed
Flexi Payment,Portfolio 7,Portfolio 7,0.59,31-05-2025,19-01-2026 09:15,Completed
GetVantage Tech Private Limited,,1,0.39,31-10-2025,19-01-2026 09:15,Completed
Groww Credit,Portfolio A1,Portfolio A1,13.16,31-12-2025,19-01-2026 09:15,Completed
Kissht,1,Portfolio 1,167.87,31-12-2025,19-01-2026 09:15,Completed
Kissht,2,Portfolio 1,78.58,31-12-2025,19-01-2026 09:15,Completed
Kissht,2,Portfolio 2,180.47,31-12-2025,19-01-2026 09:15,Completed
Kissht,2,Portfolio 3,384.21,31-12-2025,19-01-2026 09:15,Completed
Kissht,3,Portfolio 1,137.33,31-12-2025,19-01-2026 09:15,Completed
Kissht,3,Portfolio 2,379.85,31-12-2025,19-01-2026 09:15,Completed
Kissht,4,Portfolio 1,0.37,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 1,1396.76,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,31-12-2025,19-01-2026 09:15,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,31-12-2025,19-01-2026 09:15,Completed
LoanTap,,LoanTap -MAS,12.3,31-03-2025,19-01-2026 09:15,Completed
Moneyview Limited,,Partner 1,286.18,31-12-2025,19-01-2026 09:15,Completed
Moneyview Limited,,Partner 2,354.29,31-12-2025,19-01-2026 09:15,Completed
Moneyview Limited,,Partner 3,1344.26,31-12-2025,19-01-2026 09:15,Completed
Moneyview Limited,,Partner 4,823.86,31-12-2025,19-01-2026 09:15,Completed
