homepage_url,disclosure_url,status,reason
https://4fin.in/,,Not Found,No relevant disclosure links found after crawling 38 pages
https://www.bankbazaar.com/,,Not Found,No relevant disclosure links found after crawling 12 pages
https://getkosh.com/,,Not Found,"Best candidate found (score: 45.0) but failed DLG content validation. Crawled 13 pages, evaluated 1 links."
https://www.cashe.co.in/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://www.rapidrupee.in/,,Not Found,No relevant disclosure links found after crawling 1 pages
www.agrosperity.com,,Not Found,No relevant disclosure links found after crawling 3 pages
https://revfin.in/,https://revfin-documents.s3.ap-south-1.amazonaws.com/dlg-declaration-report/DLG_Declaration.pdf,Found,Found high-scoring link (score: 48.0)
https://www.creditlinks.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 36 pages, evaluated 0 links."
https://ayekart.com/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 19 pages, evaluated 0 links."
www.buddyloan.com,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 39 pages, evaluated 36 links."
https://carepay.money/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://www.myjar.app/,,Not Found,No relevant disclosure links found after crawling 30 pages
https://www.cheq.one/,,Not Found,No relevant disclosure links found after crawling 1 pages
http://www.creditt.in/,,Not Found,No relevant disclosure links found after crawling 3 pages
https://www.creditas.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 16 pages, evaluated 0 links."
https://www.creditsea.com,,Not Found,No relevant disclosure links found after crawling 17 pages
www.crif.in,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 21 pages, evaluated 0 links."
https://www.myshubhlife.com/,https://docs.google.com/document/u/1/d/e/2PACX-1vSRORcQuv5DWCP4It9dXlHkqFzrLRL2xxIugqkHAsOeZO22Xxvr227MNJ_BWx7mQBVkYj8m8QkT4-Sv/pub,Found,Found high-scoring link (score: 25.0)
https://www.progcap.com/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 15 pages, evaluated 0 links."
https://cred.club/,https://cred.club/legal/other-disclosures,Found,Found via fast-path probe: /legal/other-disclosures
https://www.getzype.com/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://fi.money,,Not Found,"Best candidate found (score: 10.0) but failed DLG content validation. Crawled 50 pages, evaluated 14 links."
https://www.stashfin.com/,,Not Found,"Best candidate found (score: 20.0) but failed DLG content validation. Crawled 27 pages, evaluated 1 links."
https://fatakpay.com/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 40 pages, evaluated 0 links."
https://finagg.in/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 1 pages, evaluated 0 links."
https://fingel.in,https://fingel.in/dlg-disclosure,Found,Found via fast-path probe: /dlg-disclosure
https://www.kreditbee.in/,,Not Found,No relevant disclosure links found after crawling 50 pages
https://finnup.in/,,Not Found,No relevant disclosure links found after crawling 12 pages
https://www.finsall.com/,https://www.finsall.com/compliance.html,Found,"Found after crawling 15 pages (score: 7.0, links evaluated: 15, validation: strict)"
https://www.capitalnow.in/,,Not Found,No relevant disclosure links found after crawling 30 pages
https://indiagold.co/,,Not Found,No relevant disclosure links found after crawling 1 pages
https://trustpaisa.com/,,Not Found,No relevant disclosure links found after crawling 29 pages
https://www.flexmoney.in/,,Not Found,No relevant disclosure links found after crawling 8 pages
https://www.getonecard.app/,,Not Found,"Best candidate found (score: 3.0) but failed DLG content validation. Crawled 31 pages, evaluated 29 links."
https://roopya.money/,,Not Found,No relevant disclosure links found after crawling 27 pages
