portfolio,amount_crores
Portfolio 2,0.0
Portfolio 3,0.0
Portfolio 4,0.0
Portfolio 5,0.0
Portfolio 6,0.0
Portfolio 7,0.0
Portfolio 8,0.0
Portfolio 9,0.0
Portfolio 10,0.0
