LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,,,2025-12-31,2026-01-14 04:59:28,Partial
CRED,A,A1,98.33,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A10,465.65,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A11,736.29,2025-12-31,2026-01-14 04:59:40,Completed
CRED,A,A12,979.55,2025-12-31,2026-01-14 04:59:40,Completed
CRED,B,B1,36.57,2025-12-31,2026-01-14 04:59:40,Completed
CRED,C,C1.1,309.96,2025-12-31,2026-01-14 04:59:40,Completed
CRED,C,C2.1,68.64,2025-12-31,2026-01-14 04:59:40,Completed
CRED,C,C2.2,468.67,2025-12-31,2026-01-14 04:59:40,Completed
GetVantage Tech Private Limited,,,,2025-10-31,2026-01-14 04:59:47,Partial
Kissht,4,7,1328.68,2025-12-31,2026-01-14 04:59:48,Completed
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-14 04:59:50,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-14 04:59:50,Completed
LoanTap,,,,2025-03-31,2026-01-14 04:59:51,Partial
Moneyview Limited,,,,2025-12-31,2026-01-14 04:59:51,Partial
Navi Finserv,,1,,2025-05-31,2026-01-14 04:59:53,Partial
Navi Finserv,,3,,2025-05-31,2026-01-14 04:59:53,Partial
Ninjacart Services Private Limited,,,,2025-12-31,2026-01-14 04:59:53,Partial
OkCredit,,1,50.4,2025-01-01,2026-01-14 04:59:54,Completed
OkCredit,,2,34.6,2025-01-01,2026-01-14 04:59:54,Completed
OkCredit,,3,33.2,2025-01-01,2026-01-14 04:59:54,Completed
OkCredit,,4*,4.6,2025-01-01,2026-01-14 04:59:54,Completed
OnEMI Technlology Solutions Limited,4,7,1328.68,2025-12-31,2026-01-14 04:59:55,Completed
PhonePe Lending Services Private Limited,,,,2025-12-31,2026-01-14 05:00:08,Partial
Revfin Services Private Limited,,,72100.0,2025-12-31,2026-01-14 05:00:17,Partial
Revfin Services Private Limited,,,,2025-12-31,2026-01-14 05:00:17,Partial
Si Creva Capital Services Private Limited,2,-,,2025-12-31,2026-01-14 05:00:19,Partial
Si Creva Capital Services Private Limited,3,-,,2025-12-31,2026-01-14 05:00:19,Partial
Si Creva Capital Services Private Limited,,338.99,338.99,2025-12-31,2026-01-14 05:00:19,Partial
Uniorbit Payment Solutions Pvt Ltd,1,1,35.85,2025-12-31,2026-01-14 05:00:25,Completed
