LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
ADJ Utility Apps Private Limited,,Partner 1,366335529.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Partner 2,1209366040.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Partner 3,2922716869.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Partner 4,39268711.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Partner 5,666278820.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Partner 6,1130941255.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Partner 7,423111502.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Partner 8,791495891.0,2025-12-31,2026-01-14 04:29:06,Completed
ADJ Utility Apps Private Limited,,Total,7549514617.0,2025-12-31,2026-01-14 04:29:06,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,,2025-12-31,2026-01-14 04:29:07,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,,2025-12-31,2026-01-14 04:29:07,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,,2025-12-31,2026-01-14 04:29:07,Partial
CRED,A,A1,98.33,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A2,71.73,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A3,77.09,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A4,111.91,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A5,203.46,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A6,196.54,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A7,253.24,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A8,346.64,2025-12-31,2026-01-14 04:29:13,Completed
CRED,A,A9,371.83,2025-12-31,2026-01-14 04:29:13,Completed
