LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
ADJ Utility Apps Private Limited,,Partner 1,366335529.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Partner 2,1209366040.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Partner 3,2922716869.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Partner 4,39268711.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Partner 5,666278820.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Partner 6,1130941255.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Partner 7,423111502.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Partner 8,791495891.0,2025-12-31,2026-01-13 12:04:04,Completed
ADJ Utility Apps Private Limited,,Total,7549514617.0,2025-12-31,2026-01-13 12:04:04,Completed
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,,2026-01-13 12:04:04,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,,2026-01-13 12:04:04,Partial
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,,2026-01-13 12:04:04,Partial
CRED,Lender A,A1,98.33,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A2,71.73,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A3,77.09,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A4,111.91,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A5,203.46,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A6,196.54,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A7,253.24,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A8,346.64,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A9,371.83,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A10,465.65,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A11,736.29,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender A,A12,979.55,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender B,B1,36.57,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender C,C1.1,309.96,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender C,C2.1,68.64,2025-12-31,2026-01-13 12:04:11,Completed
CRED,Lender C,C2.2,468.67,2025-12-31,2026-01-13 12:04:11,Completed
CreditVidya,Lender A,A1,98.33,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A2,71.73,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A3,77.09,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A4,111.91,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A5,203.46,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A6,196.54,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A7,253.24,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A8,346.64,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A9,371.83,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A10,465.65,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A11,736.29,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender A,A12,979.55,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender B,B1,36.57,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender C,C1.1,309.96,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender C,C2.1,68.64,2025-12-31,2026-01-13 12:04:15,Completed
CreditVidya,Lender C,C2.2,468.67,2025-12-31,2026-01-13 12:04:15,Completed
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,500000.0,2023-06-30,2026-01-13 12:04:19,Completed
Flexi Payment,Portfolio 1,"199,674,078",,2025-05-30,2026-01-13 12:04:24,Partial
Flexi Payment,Portfolio 2,"39,599,198",,2025-05-30,2026-01-13 12:04:24,Partial
Flexi Payment,Portfolio 3,"10,610,063",,2025-05-30,2026-01-13 12:04:24,Partial
Flexi Payment,Portfolio 4,"3,085,290",,2025-05-30,2026-01-13 12:04:24,Partial
Flexi Payment,Portfolio 5,"2,069,863",,2025-05-30,2026-01-13 12:04:24,Partial
Flexi Payment,Portfolio 6,"8,208,334",,2025-05-30,2026-01-13 12:04:24,Partial
Flexi Payment,Portfolio 7,"5,932,536",,2025-05-30,2026-01-13 12:04:24,Partial
Flexi Payment,Total,"269,179,362",,2025-05-30,2026-01-13 12:04:24,Partial
Groww Credit,Lender A,,,2026-01-17,2026-01-13 12:04:26,Partial
Groww Credit,Lender A,Portfolio A1,13.16,2025-12-31,2026-01-13 12:04:26,Partial
Kissht,,,,,2026-01-13 12:04:26,Error
KrazyBee Services Limited,,Portfolio- 1,1396.76,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 2,5006.15,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 3,1769.54,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 4,3640.28,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 5,1591.03,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 6,1507.95,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 7,967.54,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 8,933.64,2025-12-31,2026-01-13 12:04:28,Completed
KrazyBee Services Limited,,Portfolio- 9,337.13,2025-12-31,2026-01-13 12:04:28,Completed
LoanTap,,LoanTap -MAS,123046138.0,2025-03-31,2026-01-13 12:04:28,Completed
Moneyview Limited,,,,,2026-01-13 12:04:29,Error
MyShubhLife,,Portfolio 1,14.9,2024-03-31,2026-01-13 12:04:29,Completed
MyShubhLife,,Portfolio 2,16.96,2024-03-31,2026-01-13 12:04:29,Completed
MyShubhLife,,Grand Total,31.86,2024-03-31,2026-01-13 12:04:29,Completed
Navi Finserv,,1,159.5,2025-05-31,2026-01-13 12:04:30,Completed
Navi Finserv,,1,118.5,2025-05-31,2026-01-13 12:04:30,Completed
Navi Finserv,,1,10.55,2025-05-31,2026-01-13 12:04:30,Completed
Navi Finserv,,3,288.55,2025-05-31,2026-01-13 12:04:30,Completed
Ninjacart Services Private Limited,,,88000000.0,2025-12-31,2026-01-13 12:04:31,Partial
Ninjacart Services Private Limited,,,150000000.0,2025-12-31,2026-01-13 12:04:31,Partial
Ninjacart Services Private Limited,,,200000000.0,2025-12-31,2026-01-13 12:04:31,Partial
Ninjacart Services Private Limited,,,250000000.0,2025-12-31,2026-01-13 12:04:31,Partial
Ninjacart Services Private Limited,,,50000000.0,2025-12-31,2026-01-13 12:04:31,Partial
OkCredit,,1,50.4,,2026-01-13 12:04:31,Partial
OkCredit,,2,34.6,,2026-01-13 12:04:31,Partial
OkCredit,,3,33.2,,2026-01-13 12:04:31,Partial
OkCredit,,4*,4.6,,2026-01-13 12:04:31,Partial
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,2025-12-31,2026-01-13 12:04:33,Completed
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,2025-12-31,2026-01-13 12:04:33,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,2025-12-31,2026-01-13 12:04:33,Completed
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,2025-12-31,2026-01-13 12:04:33,Completed
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,2025-12-31,2026-01-13 12:04:33,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,2025-12-31,2026-01-13 12:04:33,Completed
