LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete,,,
ADJ Utility Apps Private Limited,,Partner 1,36.63,31-12-2025,14-01-2026 09:27,Completed,,,ADJ Utility Apps Private Limited
ADJ Utility Apps Private Limited,,Partner 2,120.94,31-12-2025,14-01-2026 09:27,Completed,,,AKARA CAPITAL ADVISORS PRIVATE LIMITED
ADJ Utility Apps Private Limited,,Partner 3,292.27,31-12-2025,14-01-2026 09:27,Completed,,,CRED
ADJ Utility Apps Private Limited,,Partner 4,3.93,31-12-2025,14-01-2026 09:27,Completed,,,CreditVidya
ADJ Utility Apps Private Limited,,Partner 5,66.63,31-12-2025,14-01-2026 09:27,Completed,,,Fingel Management Services Pvt. Ltd.
ADJ Utility Apps Private Limited,,Partner 6,113.09,31-12-2025,14-01-2026 09:27,Completed,,,Flexi Payment
ADJ Utility Apps Private Limited,,Partner 7,42.31,31-12-2025,14-01-2026 09:27,Completed,,,GetVantage Tech Private Limited
ADJ Utility Apps Private Limited,,Partner 8,79.15,31-12-2025,14-01-2026 09:27,Completed,,,Groww Credit
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 1,16.82,31-12-2025,14-01-2026 09:27,Completed,,,Kissht
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 2,179.35,31-12-2025,14-01-2026 09:27,Completed,,,KrazyBee Services Limited
AKARA CAPITAL ADVISORS PRIVATE LIMITED,,Portfolio - 3,88.56,31-12-2025,14-01-2026 09:27,Completed,,,MyShubhLife
CRED,A,A1,98.33,31-12-2025,14-01-2026 09:27,Completed,,,Navi Finserv
CRED,A,A2,71.73,31-12-2025,14-01-2026 09:27,Completed,,,OkCredit
CRED,A,A3,77.09,31-12-2025,14-01-2026 09:27,Completed,,,OnEMI Technlology Solutions Limited
CRED,A,A4,111.91,31-12-2025,14-01-2026 09:27,Completed,,,OnionLife Private Limited
CRED,A,A5,203.46,31-12-2025,14-01-2026 09:27,Completed,,,PhonePe Lending Services Private Limited
CRED,A,A6,196.54,31-12-2025,14-01-2026 09:27,Completed,,,SaveIN Fintech Pvt Ltd
CRED,A,A7,253.24,31-12-2025,14-01-2026 09:27,Completed,,,Si Creva Capital Services Private Limited
CRED,A,A8,346.64,31-12-2025,14-01-2026 09:27,Completed,,,Smartcoin Financials Private Limited
